,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,self_correlation,prod_correlation,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
0,14524470,20000000,1798,1822,0.3328,0.1403,0.0639,0.000843,1.8,2.77,2012-01-22,5wGAbp1,,,"pro = oth460_1l_acda;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,14881689,20000000,1109,1158,0.3496,0.1437,0.0534,0.000822,1.79,2.79,2012-01-22,Jp3oAxE,,,"pro = oth460_1l_ccns;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
2,14718740,20000000,1100,1167,0.3402,0.1421,0.0569,0.000836,1.69,2.61,2012-01-22,dx9YMjE,,,"pro = oth460_1l_ccns;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
3,14344217,20000000,1791,1829,0.3231,0.1385,0.0671,0.000857,1.68,2.56,2012-01-22,wRN2mEv,,,"pro = oth460_1l_acda;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
4,15595671,20000000,1311,1322,0.4388,0.1506,0.0541,0.000686,1.64,2.8,2012-01-22,37PZ3vz,,,"pro = oth460_1l_m3r_mtn_spb_se;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
5,14417140,20000000,1500,1509,0.3986,0.1392,0.0589,0.000699,1.6,2.71,2012-01-22,LpzAMne,,,"pro = oth460_1l_fbds;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
6,15619481,20000000,1306,1328,0.4299,0.1508,0.0569,0.000702,1.57,2.65,2012-01-22,EwzXYzR,,,"pro = oth460_1l_m3r_mtn_spb_se;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
7,14194343,20000000,1485,1496,0.3978,0.1371,0.061,0.000689,1.56,2.66,2012-01-22,Xpz5Zwm,,,"pro = oth460_1l_fbbs;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
8,14024274,20000000,1861,1957,0.37,0.1354,0.0665,0.000732,1.56,2.58,2012-01-22,wRGgxYl,,,"pro = oth460_es_ebit_fy1_d1m_l1;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
9,13922638,20000000,1306,1325,0.4322,0.1344,0.046,0.000622,1.54,2.77,2012-01-22,6w0v3oG,0.8105,0.8105,"pro = oth460_1l_m3r_mtn_spb_se;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,
10,14398212,20000000,1495,1515,0.3896,0.139,0.0676,0.000714,1.52,2.54,2012-01-22,JpzZege,,,"pro = oth460_1l_fbds;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
11,13856097,20000000,1844,1940,0.3777,0.1338,0.0716,0.000709,1.51,2.54,2012-01-22,xxGgPvN,,,"pro = oth460_es_roe_fy1_d1m_l1;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
12,13984116,20000000,1300,1331,0.4249,0.135,0.0469,0.000636,1.49,2.64,2012-01-22,roGvE9j,,,"pro = oth460_1l_m3r_mtn_spb_se;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
13,14222187,20000000,1479,1502,0.3888,0.1373,0.0637,0.000706,1.49,2.5,2012-01-22,oKGMjGn,,,"pro = oth460_1l_fbbs;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
14,11923070,20000000,1776,1793,0.3269,0.1151,0.0602,0.000704,1.49,2.51,2012-01-22,MpgeWQ6,,,"pro = oth460_1l_acda;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
15,12347394,20000000,1090,1139,0.345,0.1192,0.0703,0.000691,1.44,2.45,2012-01-22,z9Agxgo,0.5098,0.7194,"pro = oth460_1l_ccns;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,
16,13764524,20000000,1845,1973,0.3613,0.1329,0.0693,0.000736,1.44,2.37,2012-01-22,RpzWQ7o,,,"pro = oth460_es_ebit_fy1_d1m_l1;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
17,11856925,20000000,1768,1799,0.319,0.1145,0.0698,0.000718,1.41,2.35,2012-01-22,Lp8mjaL,,,"pro = oth460_1l_acda;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
18,13572163,20000000,1828,1956,0.3689,0.1311,0.0734,0.00071,1.39,2.33,2012-01-22,8zJ1aRV,,,"pro = oth460_es_roe_fy1_d1m_l1;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
19,12274926,20000000,1082,1147,0.3374,0.1185,0.0793,0.000703,1.37,2.32,2012-01-22,17GO8GX,,,"pro = oth460_1l_ccns;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
20,13404740,20000000,1274,1496,0.4417,0.1294,0.0586,0.000586,1.34,2.47,2012-01-22,xxG0den,,,"pro = oth460_1l_m1r_1yf_spe_se;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
21,11893448,20000000,1475,1493,0.3933,0.1148,0.0922,0.000584,1.24,2.29,2012-01-22,PpYmYnW,,,"pro = oth460_1l_fbds;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
22,11224676,20000000,1826,1935,0.3651,0.1084,0.0717,0.000594,1.22,2.24,2012-01-22,AwzKKxX,,,"pro = oth460_es_ebit_fy1_d1m_l1;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
23,12992777,20000000,1245,1525,0.4356,0.1255,0.0622,0.000576,1.21,2.25,2012-01-22,lVGb3QA,,,"pro = oth460_1l_m1r_1yf_spe_se;stock = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
24,11592096,20000000,1457,1483,0.3927,0.1119,0.0932,0.00057,1.2,2.24,2012-01-22,dxzAJ3w,,,"pro = oth460_1l_fbbs;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
25,11943427,20000000,1468,1499,0.3861,0.1153,0.105,0.000597,1.19,2.17,2012-01-22,z92n2P8,,,"pro = oth460_1l_fbds;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
26,11696469,20000000,1450,1490,0.3854,0.1129,0.1052,0.000586,1.15,2.13,2012-01-22,KbzjAvE,,,"pro = oth460_1l_fbbs;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
27,11034295,20000000,1804,1921,0.373,0.1065,0.0725,0.000571,1.15,2.15,2012-01-22,qAGqPLK,,,"pro = oth460_es_roe_fy1_d1m_l1;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
28,11114985,20000000,1812,1950,0.3579,0.1073,0.0815,0.0006,1.14,2.08,2012-01-22,LpzJJKL,,,"pro = oth460_es_ebit_fy1_d1m_l1;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
29,10898588,20000000,1789,1936,0.3659,0.1052,0.0827,0.000575,1.07,1.99,2012-01-22,m879JN9,,,"pro = oth460_es_roe_fy1_d1m_l1;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
30,31608974,20000000,2,2,0.21,0.3174,0.4431,0.003022,0.97,0.79,2012-01-22,Opzazgq,,,"pro = oth460_1l_ccns;stock = ts_zscore(ts_backfill(anl69_dps_best_crncy_iso, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
31,10369720,20000000,1216,1508,0.4555,0.1001,0.0586,0.00044,0.95,2.03,2012-01-22,wRGMeNv,,,"pro = oth460_1l_m1r_1yf_spe_se;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,FAIL,PASS,FAIL,PASS,PASS
32,10148810,20000000,1188,1538,0.452,0.098,0.0703,0.000434,0.88,1.88,2012-01-22,17KQgGm,,,"pro = oth460_1l_m1r_1yf_spe_se;stock = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",PASS,PASS,FAIL,PASS,FAIL,PASS,PASS
33,24232603,20000000,3,4,0.3432,0.238,0.9447,0.001387,0.42,0.51,2012-01-22,oKGOKm5,,,"pro = oth460_es_roe_fy1_d1m_l1;stock = ts_zscore(ts_backfill(anl69_dps_best_crncy_iso, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
34,19675942,20000000,3,4,0.3014,0.1933,0.9331,0.001282,0.33,0.41,2012-01-22,GwzJRA3,,,"pro = oth460_1l_acda;stock = ts_zscore(ts_backfill(anl69_dps_best_crncy_iso, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
35,19207303,20000000,3,4,0.3443,0.1887,1.1808,0.001096,0.3,0.4,2012-01-22,8zJ172l,,,"pro = oth460_es_ebit_fy1_d1m_l1;stock = ts_zscore(ts_backfill(anl69_dps_best_crncy_iso, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
36,17326832,20000000,2,2,0.3294,0.1702,1.0034,0.001033,0.28,0.39,2012-01-22,adzqOaR,,,"pro = oth460_1l_m3r_mtn_spb_se;stock = ts_zscore(ts_backfill(anl69_dps_best_crncy_iso, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = regression_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
37,9388590,20000000,1,2,0.1394,0.0943,1.2846,0.001353,0.18,0.22,2012-01-22,JpzKNJA,,,"pro = oth460_1l_ccns;stock = ts_zscore(ts_backfill(anl69_dps_best_crncy_iso, 21),21);factor = group_zscore(ts_ir(returns, 252), industry);alpha = vector_neut(stock, factor);trade_when(pro<=0.5, alpha, pro>0.5)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
