pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_2y_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
9374427,20000000,3645,3289,0.1359,0.0905,0.0507,0.001333,2.25,2.76,2012-01-22,RpPm28b,"signal1 = mdl110_score ; signal2 = mdl110_price_momentum_reversal ; k = ts_corr(mdl110_score, mdl110_price_momentum_reversal, 30) ; k*regression_neut(mdl110_score, mdl110_price_momentum_reversal)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
7985912,20000000,3454,3385,0.1284,0.0771,0.0684,0.001201,1.91,2.47,2012-01-22,VpeG2a0,"signal1 = mdl110_score ; signal2 = mdl110_analyst_sentiment ; k = ts_corr(mdl110_score, mdl110_analyst_sentiment, 30) ; k*regression_neut(mdl110_score, mdl110_analyst_sentiment)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
4683703,20000000,3625,3310,0.1726,0.0452,0.0425,0.000524,0.92,1.79,2012-01-22,xx5NPbn,"signal1 = mdl110_score ; signal2 = mdl110_alternative ; k = ts_corr(mdl110_score, mdl110_alternative, 30) ; k*regression_neut(mdl110_score, mdl110_alternative)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
3539063,20000000,3504,3409,0.1725,0.0342,0.0492,0.000396,0.61,1.38,2012-01-22,p63NV5q,"signal1 = mdl110_score ; signal2 = mdl110_value ; k = ts_corr(mdl110_score, mdl110_value, 30) ; k*regression_neut(mdl110_score, mdl110_value)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
3733421,20000000,3492,3522,0.173,0.0361,0.062,0.000417,0.54,1.18,2012-01-22,vLPNrwa,"signal1 = mdl110_score ; signal2 = mdl110_tree ; k = ts_corr(mdl110_score, mdl110_tree, 30) ; k*regression_neut(mdl110_score, mdl110_tree)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
2998253,20000000,3487,3432,0.1735,0.029,0.0724,0.000334,0.54,1.32,2012-01-22,Gw9GMeG,"signal1 = mdl110_score ; signal2 = mdl110_quality ; k = ts_corr(mdl110_score, mdl110_quality, 30) ; k*regression_neut(mdl110_score, mdl110_quality)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
2850075,20000000,3487,3366,0.1765,0.0275,0.0555,0.000312,0.47,1.2,2012-01-22,6wNpaeO,"signal1 = mdl110_score ; signal2 = mdl110_growth ; k = ts_corr(mdl110_score, mdl110_growth, 30) ; k*regression_neut(mdl110_score, mdl110_growth)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
2297377,20000000,3491,3462,0.1192,0.0222,0.0362,0.000372,0.4,0.96,2012-01-22,lV1WYZn,"signal1 = mdl110_growth ; signal2 = mdl110_value ; k = ts_corr(mdl110_growth, mdl110_value, 30) ; k*regression_neut(mdl110_growth, mdl110_value)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
2092192,20000000,3385,3471,0.1432,0.0202,0.0557,0.000282,0.33,0.89,2012-01-22,wRWaAXp,"signal1 = mdl110_growth ; signal2 = mdl110_score ; k = ts_corr(mdl110_growth, mdl110_score, 30) ; k*regression_neut(mdl110_growth, mdl110_score)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
2112298,20000000,3479,3360,0.1457,0.0204,0.0496,0.00028,0.31,0.84,2012-01-22,adGE3r2,"signal1 = mdl110_analyst_sentiment ; signal2 = mdl110_score ; k = ts_corr(mdl110_analyst_sentiment, mdl110_score, 30) ; k*regression_neut(mdl110_analyst_sentiment, mdl110_score)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
1535501,20000000,3513,3446,0.2045,0.0148,0.0787,0.000145,0.16,0.58,2012-01-22,XpMoJmm,"signal1 = mdl110_price_momentum_reversal ; signal2 = mdl110_growth ; k = ts_corr(mdl110_price_momentum_reversal, mdl110_growth, 30) ; k*regression_neut(mdl110_price_momentum_reversal, mdl110_growth)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
1672563,20000000,3383,3511,0.1722,0.0162,0.0809,0.000188,0.16,0.53,2012-01-22,bLAjEYr,"signal1 = mdl110_tree ; signal2 = mdl110_price_momentum_reversal ; k = ts_corr(mdl110_tree, mdl110_price_momentum_reversal, 30) ; k*regression_neut(mdl110_tree, mdl110_price_momentum_reversal)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
1110727,20000000,3524,3426,0.1216,0.0107,0.0608,0.000176,0.15,0.51,2012-01-22,eOExL16,"signal1 = mdl110_value ; signal2 = mdl110_growth ; k = ts_corr(mdl110_value, mdl110_growth, 30) ; k*regression_neut(mdl110_value, mdl110_growth)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
1253388,20000000,3545,3414,0.1355,0.0121,0.0493,0.000179,0.14,0.47,2012-01-22,8zXpKxX,"signal1 = mdl110_alternative ; signal2 = mdl110_growth ; k = ts_corr(mdl110_alternative, mdl110_growth, 30) ; k*regression_neut(mdl110_alternative, mdl110_growth)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
1181417,20000000,3623,3311,0.1483,0.0114,0.0877,0.000154,0.11,0.38,2012-01-22,075MEgG,"signal1 = mdl110_alternative ; signal2 = mdl110_score ; k = ts_corr(mdl110_alternative, mdl110_score, 30) ; k*regression_neut(mdl110_alternative, mdl110_score)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
1060368,20000000,3531,3426,0.1452,0.0102,0.0969,0.000141,0.1,0.38,2012-01-22,jZO6MMQ,"signal1 = mdl110_growth ; signal2 = mdl110_price_momentum_reversal ; k = ts_corr(mdl110_growth, mdl110_price_momentum_reversal, 30) ; k*regression_neut(mdl110_growth, mdl110_price_momentum_reversal)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
1308057,20000000,3476,3457,0.1823,0.0126,0.062,0.000139,0.1,0.38,2012-01-22,RpPm6R1,"signal1 = mdl110_price_momentum_reversal ; signal2 = mdl110_score ; k = ts_corr(mdl110_price_momentum_reversal, mdl110_score, 30) ; k*regression_neut(mdl110_price_momentum_reversal, mdl110_score)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
1219607,20000000,3628,3390,0.1995,0.0118,0.0852,0.000118,0.1,0.41,2012-01-22,dxvZbpg,"signal1 = mdl110_price_momentum_reversal ; signal2 = mdl110_value ; k = ts_corr(mdl110_price_momentum_reversal, mdl110_value, 30) ; k*regression_neut(mdl110_price_momentum_reversal, mdl110_value)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
1216398,20000000,3896,3145,0.197,0.0117,0.1192,0.000119,0.1,0.39,2012-01-22,WpJAeEP,"signal1 = mdl110_price_momentum_reversal ; signal2 = mdl110_alternative ; k = ts_corr(mdl110_price_momentum_reversal, mdl110_alternative, 30) ; k*regression_neut(mdl110_price_momentum_reversal, mdl110_alternative)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
870447,20000000,3476,3393,0.1802,0.0084,0.0713,9.3e-05,0.09,0.44,2012-01-22,Qa69egX,"signal1 = mdl110_analyst_sentiment ; signal2 = mdl110_growth ; k = ts_corr(mdl110_analyst_sentiment, mdl110_growth, 30) ; k*regression_neut(mdl110_analyst_sentiment, mdl110_growth)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
1020440,20000000,3593,3445,0.1475,0.0099,0.1078,0.000134,0.08,0.3,2012-01-22,RpP18Ka,"signal1 = mdl110_alternative ; signal2 = mdl110_price_momentum_reversal ; k = ts_corr(mdl110_alternative, mdl110_price_momentum_reversal, 30) ; k*regression_neut(mdl110_alternative, mdl110_price_momentum_reversal)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
1050427,20000000,3360,3444,0.1831,0.0101,0.0624,0.000111,0.08,0.32,2012-01-22,eOExRjM,"signal1 = mdl110_analyst_sentiment ; signal2 = mdl110_tree ; k = ts_corr(mdl110_analyst_sentiment, mdl110_tree, 30) ; k*regression_neut(mdl110_analyst_sentiment, mdl110_tree)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
721210,20000000,3472,3458,0.1783,0.007,0.0336,7.8e-05,0.07,0.36,2012-01-22,wRWE6PQ,"signal1 = mdl110_analyst_sentiment ; signal2 = mdl110_quality ; k = ts_corr(mdl110_analyst_sentiment, mdl110_quality, 30) ; k*regression_neut(mdl110_analyst_sentiment, mdl110_quality)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
755052,20000000,3436,3441,0.1399,0.0073,0.0835,0.000104,0.07,0.32,2012-01-22,27elPgN,"signal1 = mdl110_tree ; signal2 = mdl110_quality ; k = ts_corr(mdl110_tree, mdl110_quality, 30) ; k*regression_neut(mdl110_tree, mdl110_quality)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
684796,20000000,3508,3515,0.1398,0.0066,0.0547,9.5e-05,0.06,0.27,2012-01-22,adG7Zbv,"signal1 = mdl110_quality ; signal2 = mdl110_price_momentum_reversal ; k = ts_corr(mdl110_quality, mdl110_price_momentum_reversal, 30) ; k*regression_neut(mdl110_quality, mdl110_price_momentum_reversal)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
598380,20000000,3579,3444,0.1281,0.0058,0.0835,9e-05,0.05,0.24,2012-01-22,m8Q5xnX,"signal1 = mdl110_alternative ; signal2 = mdl110_quality ; k = ts_corr(mdl110_alternative, mdl110_quality, 30) ; k*regression_neut(mdl110_alternative, mdl110_quality)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
630619,20000000,3564,3461,0.1201,0.0061,0.0945,0.000101,0.05,0.24,2012-01-22,oKZN03v,"signal1 = mdl110_quality ; signal2 = mdl110_alternative ; k = ts_corr(mdl110_quality, mdl110_alternative, 30) ; k*regression_neut(mdl110_quality, mdl110_alternative)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
741190,20000000,3636,3384,0.1296,0.0072,0.094,0.00011,0.05,0.23,2012-01-22,oKZglG2,"signal1 = mdl110_alternative ; signal2 = mdl110_value ; k = ts_corr(mdl110_alternative, mdl110_value, 30) ; k*regression_neut(mdl110_alternative, mdl110_value)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
521134,20000000,3381,3421,0.1671,0.005,0.0481,6e-05,0.04,0.26,2012-01-22,XpM7mdl,"signal1 = mdl110_tree ; signal2 = mdl110_analyst_sentiment ; k = ts_corr(mdl110_tree, mdl110_analyst_sentiment, 30) ; k*regression_neut(mdl110_tree, mdl110_analyst_sentiment)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
605267,20000000,3526,3496,0.2011,0.0058,0.0463,5.8e-05,0.04,0.25,2012-01-22,OpgGN6d,"signal1 = mdl110_price_momentum_reversal ; signal2 = mdl110_quality ; k = ts_corr(mdl110_price_momentum_reversal, mdl110_quality, 30) ; k*regression_neut(mdl110_price_momentum_reversal, mdl110_quality)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
373611,20000000,3518,3427,0.1455,0.0036,0.0461,5e-05,0.03,0.16,2012-01-22,7wlnwAb,"signal1 = mdl110_alternative ; signal2 = mdl110_analyst_sentiment ; k = ts_corr(mdl110_alternative, mdl110_analyst_sentiment, 30) ; k*regression_neut(mdl110_alternative, mdl110_analyst_sentiment)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
387362,20000000,3511,3446,0.1165,0.0037,0.0798,6.4e-05,0.03,0.19,2012-01-22,170wbXK,"signal1 = mdl110_quality ; signal2 = mdl110_growth ; k = ts_corr(mdl110_quality, mdl110_growth, 30) ; k*regression_neut(mdl110_quality, mdl110_growth)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
349641,20000000,3357,3586,0.2052,0.0034,0.049,3.3e-05,0.02,0.15,2012-01-22,5wYpznJ,"signal1 = mdl110_price_momentum_reversal ; signal2 = mdl110_analyst_sentiment ; k = ts_corr(mdl110_price_momentum_reversal, mdl110_analyst_sentiment, 30) ; k*regression_neut(mdl110_price_momentum_reversal, mdl110_analyst_sentiment)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
252589,20000000,3266,3753,0.1381,0.0024,0.0812,3.5e-05,0.01,0.09,2012-01-22,vLPvdY3,"signal1 = mdl110_value ; signal2 = mdl110_price_momentum_reversal ; k = ts_corr(mdl110_value, mdl110_price_momentum_reversal, 30) ; k*regression_neut(mdl110_value, mdl110_price_momentum_reversal)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
190217,20000000,3466,3450,0.1387,0.0018,0.0904,2.6e-05,0.01,0.08,2012-01-22,oKZq56v,"signal1 = mdl110_quality ; signal2 = mdl110_score ; k = ts_corr(mdl110_quality, mdl110_score, 30) ; k*regression_neut(mdl110_quality, mdl110_score)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
302184,20000000,3460,3434,0.205,0.0029,0.1515,2.8e-05,0.01,0.08,2012-01-22,AwEGNee,"signal1 = mdl110_price_momentum_reversal ; signal2 = mdl110_tree ; k = ts_corr(mdl110_price_momentum_reversal, mdl110_tree, 30) ; k*regression_neut(mdl110_price_momentum_reversal, mdl110_tree)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
202130,20000000,3481,3478,0.1161,0.002,0.0483,3.4e-05,0.01,0.09,2012-01-22,8zXp22V,"signal1 = mdl110_growth ; signal2 = mdl110_quality ; k = ts_corr(mdl110_growth, mdl110_quality, 30) ; k*regression_neut(mdl110_growth, mdl110_quality)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
195029,20000000,3529,3431,0.1281,0.0019,0.1066,2.9e-05,0.01,0.08,2012-01-22,OpgGjep,"signal1 = mdl110_growth ; signal2 = mdl110_alternative ; k = ts_corr(mdl110_growth, mdl110_alternative, 30) ; k*regression_neut(mdl110_growth, mdl110_alternative)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-32809,20000000,3397,3418,0.1478,-0.0003,0.1111,-4e-06,-0.0,-0.01,2012-01-22,vLPja7A,"signal1 = mdl110_tree ; signal2 = mdl110_growth ; k = ts_corr(mdl110_tree, mdl110_growth, 30) ; k*regression_neut(mdl110_tree, mdl110_growth)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-59397,20000000,3445,3425,0.1417,-0.0006,0.0651,-8e-06,-0.0,-0.03,2012-01-22,Np8baJg,"signal1 = mdl110_growth ; signal2 = mdl110_analyst_sentiment ; k = ts_corr(mdl110_growth, mdl110_analyst_sentiment, 30) ; k*regression_neut(mdl110_growth, mdl110_analyst_sentiment)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-71591,20000000,3537,3476,0.1777,-0.0007,0.1382,-8e-06,-0.0,-0.03,2012-01-22,AwElMoX,"signal1 = mdl110_tree ; signal2 = mdl110_score ; k = ts_corr(mdl110_tree, mdl110_score, 30) ; k*regression_neut(mdl110_tree, mdl110_score)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-155580,20000000,3781,3165,0.1775,-0.0015,0.0704,-1.7e-05,-0.01,-0.07,2012-01-22,m8QV9Ex,"signal1 = mdl110_analyst_sentiment ; signal2 = mdl110_alternative ; k = ts_corr(mdl110_analyst_sentiment, mdl110_alternative, 30) ; k*regression_neut(mdl110_analyst_sentiment, mdl110_alternative)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-324784,20000000,3369,3446,0.1264,-0.0031,0.121,-5e-05,-0.01,-0.08,2012-01-22,vLPNobd,"signal1 = mdl110_growth ; signal2 = mdl110_tree ; k = ts_corr(mdl110_growth, mdl110_tree, 30) ; k*regression_neut(mdl110_growth, mdl110_tree)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-216119,20000000,3458,3420,0.1202,-0.0021,0.1047,-3.5e-05,-0.01,-0.06,2012-01-22,Qa67Z8p,"signal1 = mdl110_quality ; signal2 = mdl110_tree ; k = ts_corr(mdl110_quality, mdl110_tree, 30) ; k*regression_neut(mdl110_quality, mdl110_tree)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
-232781,20000000,3260,3655,0.1404,-0.0022,0.1517,-3.2e-05,-0.01,-0.09,2012-01-22,bLAdva6,"signal1 = mdl110_value ; signal2 = mdl110_score ; k = ts_corr(mdl110_value, mdl110_score, 30) ; k*regression_neut(mdl110_value, mdl110_score)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-367087,20000000,3440,3456,0.1365,-0.0035,0.1371,-5.2e-05,-0.01,-0.08,2012-01-22,eOE3qYg,"signal1 = mdl110_alternative ; signal2 = mdl110_tree ; k = ts_corr(mdl110_alternative, mdl110_tree, 30) ; k*regression_neut(mdl110_alternative, mdl110_tree)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-359845,20000000,3662,3283,0.1826,-0.0035,0.0701,-3.8e-05,-0.02,-0.15,2012-01-22,XpM8qzb,"signal1 = mdl110_analyst_sentiment ; signal2 = mdl110_price_momentum_reversal ; k = ts_corr(mdl110_analyst_sentiment, mdl110_price_momentum_reversal, 30) ; k*regression_neut(mdl110_analyst_sentiment, mdl110_price_momentum_reversal)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-417908,20000000,3482,3525,0.1121,-0.004,0.0779,-7.2e-05,-0.03,-0.16,2012-01-22,WpJA2Wo,"signal1 = mdl110_quality ; signal2 = mdl110_value ; k = ts_corr(mdl110_quality, mdl110_value, 30) ; k*regression_neut(mdl110_quality, mdl110_value)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
-489873,20000000,3466,3540,0.1134,-0.0047,0.0755,-8.3e-05,-0.04,-0.2,2012-01-22,dxvRxpg,"signal1 = mdl110_value ; signal2 = mdl110_quality ; k = ts_corr(mdl110_value, mdl110_quality, 30) ; k*regression_neut(mdl110_value, mdl110_quality)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
-513343,20000000,3466,3463,0.1365,-0.005,0.092,-7.3e-05,-0.05,-0.26,2012-01-22,vLPNXJz,"signal1 = mdl110_quality ; signal2 = mdl110_analyst_sentiment ; k = ts_corr(mdl110_quality, mdl110_analyst_sentiment, 30) ; k*regression_neut(mdl110_quality, mdl110_analyst_sentiment)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-622321,20000000,3581,3350,0.1384,-0.006,0.1009,-8.7e-05,-0.06,-0.3,2012-01-22,8zXe1MV,"signal1 = mdl110_value ; signal2 = mdl110_analyst_sentiment ; k = ts_corr(mdl110_value, mdl110_analyst_sentiment, 30) ; k*regression_neut(mdl110_value, mdl110_analyst_sentiment)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
-747218,20000000,3468,3462,0.1773,-0.0072,0.092,-8.1e-05,-0.07,-0.35,2012-01-22,WpJV85x,"signal1 = mdl110_analyst_sentiment ; signal2 = mdl110_value ; k = ts_corr(mdl110_analyst_sentiment, mdl110_value, 30) ; k*regression_neut(mdl110_analyst_sentiment, mdl110_value)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-919344,20000000,3445,3450,0.1511,-0.0089,0.1211,-0.000117,-0.08,-0.31,2012-01-22,wRWjM05,"signal1 = mdl110_tree ; signal2 = mdl110_alternative ; k = ts_corr(mdl110_tree, mdl110_alternative, 30) ; k*regression_neut(mdl110_tree, mdl110_alternative)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-852103,20000000,3489,3530,0.124,-0.0082,0.1419,-0.000133,-0.08,-0.31,2012-01-22,vLPvVKd,"signal1 = mdl110_value ; signal2 = mdl110_alternative ; k = ts_corr(mdl110_value, mdl110_alternative, 30) ; k*regression_neut(mdl110_value, mdl110_alternative)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
-1537285,20000000,3426,3449,0.1462,-0.0148,0.179,-0.000203,-0.17,-0.53,2012-01-22,ro8jpZa,"signal1 = mdl110_tree ; signal2 = mdl110_value ; k = ts_corr(mdl110_tree, mdl110_value, 30) ; k*regression_neut(mdl110_tree, mdl110_value)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
-2397664,20000000,3373,3501,0.1261,-0.0232,0.2838,-0.000367,-0.27,-0.64,2012-01-22,eOExOmN,"signal1 = mdl110_value ; signal2 = mdl110_tree ; k = ts_corr(mdl110_value, mdl110_tree, 30) ; k*regression_neut(mdl110_value, mdl110_tree)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
